rating,file,function,table,kind,client,tenant_filter_in_chain,multiline_tenant_filter_detected,insert_contains_tenant_id,prior_ownership_assertion_detected,likely_false_positive,recommended_action,id_only_without_tenant_signal,service_role_note,rls_note,line,snippet
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/cases/[caseId]/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","52","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/cases/[caseId]/summary/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","38","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/cases/new/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","22","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/cases/new/page.tsx","(top-level or unscoped)","fi_clinics","from","supabase","Y","Y","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","26",".from('fi_clinics') .select('id, display_name') .eq('tenant_id', tenantId) .order('display_name', { ascending: true });"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/configuration/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","42","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/directory/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","43","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/directory/page.tsx","(top-level or unscoped)","fi_organisations","from","supabase","Y","N","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","54","supabase.from('fi_organisations').select('id, name').eq('tenant_id', tenantId).order('name', { ascending: true }), supabase.from('fi_clinics').select('*', { count: 'exact', head: true }).eq('tenant_id', tenantId), ]);"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/directory/page.tsx","(top-level or unscoped)","fi_clinics","from","supabase","Y","N","N","N","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","N","Typical server pattern; may be replaceable with RLS+user client for reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","55","supabase.from('fi_clinics').select('*', { count: 'exact', head: true }).eq('tenant_id', tenantId), ]);"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/settings/admin-users/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","38","const { data: tenant, error: te } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
"SAFE","app/(fi-admin)/fi-admin/[tenantId]/settings/imports/hubspot/page.tsx","(top-level or unscoped)","fi_tenants","from","supabase","N","N","N","Y","N","Heuristics satisfied; still verify business rules and RPC SQL if applicable.","Y","Convenience; could use tenant-scoped user client for some reads","Service role bypasses RLS; RLS only helps if query switched to user JWT client.","48","const { data: tenant, error } = await supabase.from('fi_tenants').select('id').eq('id', tenantId).maybeSingle();"
